Workload Name,perf_read_bw(MiB/s),perf_write_bw(MiB/s),Sum BW(MiB/s),Classification
619.lbm_s,4707.96659,3545.85888,8253.82547,H
503.bwaves_r,4410.625,1056.159,5466.784,H
603.bwaves_s,3521.6737,843.7483,4365.422,H
519.lbm_r,2646.60588,1506.66,4153.26588,H
654.roms_s,2589.45333,1095.228666,3684.681996,H
554.roms_r,2362.41,1023.21428,3385.62428,H
621.wrf_s,1817.757,1056.12342,2873.88042,H
521.wrf_r,1807.8822,1052.73085,2860.61305,H
607.cactuBSSN_s,1370.77571,871.2328,2242.00851,H
507.cactuBSSN_r,1369.40785,871.0621,2240.46995,H
631.deepsjeng_s,200.879729,1957.96675,2158.846479,H
549.fotonik3d_r,1130.3657,791.94,1922.3057,M
627.cam4_s,888.5145,915.23636,1803.75086,M
649.fotonik3d_s,1023.923,716.45,1740.373,M
505.mcf_r,1374.3972,244.36625,1618.76345,M
628.pop2_s,1306.81625,296.7281,1603.54435,M
605.mcf_s,1353.90675,244.7515,1598.65825,M
620.omnetpp_s,755.5292,443.2646,1198.7938,M
657.xz_s,168.81368,966.368421,1135.182101,M
557.xz_r,160.6747,961.7139,1122.3886,M
520.omnetpp_r,700.0585,410.8635,1110.922,M
527.cam4_r,524.8903,416.48322,941.37352,M
531.deepsjeng_r,125.25879,488.9152,614.17399,L
625.x264_s,253.05012,91.96233,345.01245,L
525.x264_r,251.41831,91.7197,343.13801,L
508.namd_r,195.2099,74.38375,269.59365,L
526.blender_r,98.51,131.7666,230.2766,L
510.parest_r,35.3722,119.4259,154.7981,L
502.gcc_r,25.476,17.226,42.702,L
523.xalancbmk_r,21.72,20.06,41.78,L
623.xalancbmk_s,19.92,19.963333,39.883333,L
602.gcc_s,20.47666,16.463333,36.939993,L
641.leela_s,7.492,16.0685,23.5605,L
538.imagick_r,12.30666,10.31,22.61666,L
638.imagick_s,12.056666,10.10333,22.159996,L
500.perlbench_r,7.68,14.286,21.966,L
541.leela_r,5.466,14.507,19.973,L
600.perlbench_s,6.09705,13.13348,19.23053,L
511.povray_r,8.07499,6.3875,14.46249,L
544.nab_r,0.44,0.01,0.45,VL
548.exchange2_r,0.388666,0.04566,0.434326,VL
644.nab_s,0.334999,0.023,0.357999,VL
648.exchange2_s,0.415,0.0386666,0.4536666,VL
